TotalKg,SWR,Equipment,BodyweightKg,Age,Sex
545,6.728395062,Raw,81,20,M
695,6.420323326,Wraps,108.25,39,M
86.18,1.339863184,Raw,64.32,10,M
547.5,5.486521696,Wraps,99.79,21,M
170,1.740020471,Single-ply,97.7,60,M
425,5.393401015,Wraps,78.8,15,M
567.5,7.023514851,Raw,80.8,23,M
740,7.449164486,Wraps,99.34,28,M
157.5,2.134146341,Raw,73.8,41,F
110,1.455026455,Raw,75.6,15,M
602.5,7.311893204,Wraps,82.4,20,M
607.5,7.490752158,Raw,81.1,22,M
562.5,5.890052356,Raw,95.5,26,M
250,3.822629969,Raw,65.4,44,F
275,5.111524164,Raw,53.8,41,F
97.5,1.091825308,Single-ply,89.3,75,M
357.5,5.296296296,Wraps,67.5,24,F
237.5,4.049445865,Raw,58.65,22,F
292.5,5.241935484,Raw,55.8,23,F
192.5,2.458807,Raw,78.29,22,M
192.5,1.8613421,Single-ply,103.42,70,M
125,1.684409109,Raw,74.21,24,M
122.5,1.300838908,Raw,94.17,70,M
528.44,5.901719902,Wraps,89.54,25,M
712.5,7.168008048,Raw,99.4,26,M
117.5,2.18401487,Single-ply,53.8,52,F
569.99,5.927516639,Single-ply,96.16,32,M
307.5,3.090452261,Raw,99.5,43,F
532.5,5.947062765,Wraps,89.54,44,M
445,5.285035629,Raw,84.2,52,M
100,1.586042823,Raw,63.05,65,F
422.5,5.22249691,Raw,80.9,22,M
560,5.204460967,Wraps,107.6,48,M
210,1.886792453,Raw,111.3,40,M
885,8.105880198,Wraps,109.18,28,M
155,1.771428571,Raw,87.5,29,M
527.5,7.861400894,Raw,67.1,47,M
122.5,1.820208024,Raw,67.3,25,F
522.5,5.364476386,Raw,97.4,23,M
450,5.136986301,Raw,87.6,35,M
227.5,2.82960199,Raw,80.4,17,M
397.5,5.445205479,Single-ply,73,29,F
207.5,2.106171336,Raw,98.52,25,M
355,3.36492891,Raw,105.5,24,F
472.5,4.772727273,Raw,99,29,M
520,5.058365759,Wraps,102.8,64,M
195,2.434456929,Raw,80.1,45,M
582.5,5.836673347,Single-ply,99.8,40,M
527.5,5.409146842,Raw,97.52,25,M
158.76,1.643138067,Raw,96.62,36,M
687.19,6.270553883,Wraps,109.59,39,M
331.12,3.526680158,Wraps,93.89,14,M
182.5,2.123080503,Raw,85.96,16,M
542.5,6.034482759,Raw,89.9,21,M
315,4.891304348,Wraps,64.4,31,F
205,2.369942197,Raw,86.5,39,M
590,7.940780619,Single-ply,74.3,20,M
752.5,6.323529412,Wraps,119,41,M
543.5,7.956375348,Raw,68.31,26,M
65,1.305220884,Raw,49.8,17,F
108.86,1.650644428,Raw,65.95,52,F
555,7.479784367,Wraps,74.2,23,M
260,4.373423045,Wraps,59.45,19,F
600,7.389162562,Wraps,81.2,19,M
125,1.898830321,Raw,65.83,64,M
505.76,4.618812785,Wraps,109.5,18,M
690,6.9,Wraps,100,43,M
277.5,3.709893048,Raw,74.8,37,F
570,6.229508197,Raw,91.5,19,M
573.79,5.933098956,Raw,96.71,22,M
337.5,3.625913193,Wraps,93.08,26,F
275,4.185692542,Raw,65.7,48,F
212.51,2.579944154,Raw,82.37,29,M
170,1.91118606,Raw,88.95,42,M
77.5,0.96875,Raw,80,68,F
662.5,4.642606868,Raw,142.7,19,M
102.5,1.350461133,Raw,75.9,15,F
407.5,5.455153949,Raw,74.7,51,M
252.5,4.316239316,Raw,58.5,23,F
492.5,5.614455084,Wraps,87.72,20,M
555,6.920199501,Wraps,80.2,23,M
300,4,Raw,75,36,F
150,1.369863014,Raw,109.5,17,M
347.5,3.569960962,Wraps,97.34,28,M
510,6.296296296,Wraps,81,25,M
227.5,2.847309136,Raw,79.9,32,M
112.5,1.733436055,Raw,64.9,19,M
322.5,5.475382003,Raw,58.9,20,F
517.5,5.269857434,Wraps,98.2,20,M
662.5,7.369299221,Wraps,89.9,27,M
637.5,6.445904954,Raw,98.9,24,M
555,5.301365938,Wraps,104.69,24,M
280,5.035971223,Raw,55.6,30,F
605,6.752232143,Wraps,89.6,29,M
272.5,3.351783518,Wraps,81.3,35,F
250,3.759398496,Raw,66.5,23,F
269.89,4.050577818,Raw,66.63,37,F
222.5,2.357241233,Single-ply,94.39,46,M
591.94,6.754992582,Wraps,87.63,23,M
55,1.020408163,Raw,53.9,31,F
482.5,5.716824645,Wraps,84.4,19,M
72.35,1.399149101,Single-ply,51.71,39,F
467.5,4.968119022,Raw,94.1,24,M
320,3.174603175,Raw,100.8,19,F
447.5,6.842507645,Raw,65.4,26,M
264.9,2.654574607,Single-ply,99.79,24,M
337.5,5.461165049,Wraps,61.8,44,F
525,7.489300999,Raw,70.1,22,M
307.5,5.631868132,Wraps,54.6,29,F
653.17,6.605683657,Wraps,98.88,35,M
270,4.016661708,Wraps,67.22,13,F
320,2.930939733,Single-ply,109.18,48,M
175,1.984577002,Raw,88.18,23,M
295,3.986486486,Wraps,74,36,F
502.5,6.113138686,Single-ply,82.2,17,M
188,2.151029748,Raw,87.4,62,M
263.08,4.384666667,Wraps,60,36,F
435,4.385080645,Raw,99.2,43,M
387.5,7.451923077,Wraps,52,39,M
415,5.608108108,Wraps,74,47,F
247.5,1.829944547,Raw,135.25,30,M
367.5,3.526871401,Raw,104.2,16,M
210,2.03685742,Raw,103.1,25,M
650,5.597657596,Raw,116.12,25,M
137.5,1.327220077,Raw,103.6,28,M
260,3.939393939,Raw,66,29,F
632.76,5.546633941,Wraps,114.08,23,M
47.4,0.941410129,Single-ply,50.35,50,F
802.5,6.034288292,Wraps,132.99,40,M
270,4.576271186,Raw,59,55,F
755,6.291666667,Wraps,120,34,M
625,6.067961165,Raw,103,22,M
430,5.39523212,Wraps,79.7,20,M
622.5,5.23549201,Wraps,118.9,32,M
220,2.70602706,Raw,81.3,53,M
275,4.378980892,Raw,62.8,26,F
577.5,7,Raw,82.5,36,M
