SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear
6150,260,0,37,1,12,1,4,0,0,7,0,645
6150,30,1,36,1,12,1,6,0,0,7,0,0
5913,10,0,29,0,12,0,6,1,1,7,1,1232
6797,3,0,35,0,10,1,4,0,1,12,0,320
6797,2,0,33,0,10,1,4,0,1,5,0,421
2222,12,0,39,0,10,0,2,0,1,7,1,1300
6072,4,0,37,0,12,1,1,0,0,9.5,1,438
5282,6,0,21,1,12,1,2,0,0,5,0,455
5565,2,0,59,0,4,1,4,1,1,7,1,460
6499,12,0,59,0,10,1,2,0,1,11,0,769
6499,9,0,58,0,10,1,3,1,1,7,0,750
5960,2,0,44,0,11,1,5,1,1,13,0,745
5343,4,0,29,0,16,1,4,1,0,7,0,790
5073,2,0,31,0,12,1,5,1,1,13,1,1267
5963,1,0,63,0,10,1,2,1,1,9.5,1,223
6651,31,1,25,0,13,1,1,1,0,12,0,550
1980,5,0,50,0,8,1,2,0,1,5,1,288
5378,39,1,63,0,10,1,2,1,1,13,1,485
2101,16,0,23,0,9,0,3,1,0,11,0,194
6418,4,0,31,0,12,1,4,0,1,5,1,226
6582,8,0,38,0,8,1,6,1,1,5,0,254
5243,26,0,31,0,11,1,2,0,0,7,0,872
5235,22,0,28,0,12,0,3,1,1,7,0,557
709,9,0,50,0,12,0,3,1,1,13,1,1016
709,8,0,49,0,12,0,3,1,1,13,1,748
5117,15,0,41,0,17,0,2,1,0,5,1,1016
2657,3,0,55,0,12,0,5,1,1,11,1,1314
6829,13,1,29,0,12,1,1,1,0,8,0,355
6829,1,0,28,0,12,1,1,1,0,9.5,0,348
1916,26,0,41,1,11,0,4,0,0,12,1,339
6706,13,1,23,0,11,1,6,1,1,8,0,539
565,20,0,20,0,11,0,3,1,0,5,0,356
1427,6,0,27,0,12,0,4,1,1,7,1,755
1260,1,0,22,0,12,0,2,1,1,7,0,713
6820,8,0,45,1,10,1,2,1,0,6,0,862
6820,62,1,27,1,10,1,3,0,0,6,0,0
2678,7,0,23,1,14,0,1,1,0,10,0,852
2799,23,1,24,1,12,0,2,1,0,7,0,331
1376,1,0,25,0,11,0,4,0,1,5,0,603
18,4,0,28,0,12,0,3,1,0,11,0,1132
5072,8,0,54,0,12,1,2,1,1,12,0,1283
5072,5,0,53,0,12,1,2,1,1,13,0,1228
5067,98,1,44,0,12,1,9,0,1,12,1,0
5070,39,1,27,0,11,1,2,1,0,12,0,136
5070,35,1,26,0,11,1,2,1,1,13,0,404
6023,39,0,56,1,14,1,3,1,0,9,0,502
6023,42,1,55,1,14,1,3,1,0,7,0,667
6024,26,1,26,1,12,1,2,0,0,9,0,256
6171,20,0,23,0,12,1,1,1,0,11,0,938
6171,69,0,22,0,12,1,1,1,0,7,0,0
5866,17,0,26,0,7,1,1,1,0,11,0,576
5836,4,0,28,0,12,1,5,1,1,5,1,277
2469,6,0,25,0,12,0,2,0,1,7,1,591
1125,3,0,20,0,12,0,2,1,1,7,1,408
5462,24,0,25,1,12,1,2,0,0,5,0,229
1335,16,1,23,0,12,0,3,1,1,4,1,888
1335,3,0,22,0,12,0,2,1,1,5,1,1026
1700,2,0,51,0,9,0,2,1,1,8,1,459
6171,1,0,40,0,12,1,3,1,1,7,1,1316
1700,2,0,31,0,12,0,5,1,1,8,0,548
1700,3,0,30,0,12,0,5,1,1,9.5,0,1471
546,8,0,22,0,12,0,1,1,0,8,0,694
2678,2,0,29,0,12,0,4,1,1,7,0,935
5066,8,0,42,0,11,1,1,1,0,12,0,1267
1810,12,0,29,0,12,1,5,1,1,7,0,922
5477,52,1,25,0,12,1,1,0,0,9,0,250
6172,3,0,27,1,11,1,1,0,0,7,0,278
5055,24,0,38,0,11,1,1,1,0,13,0,494
1572,5,0,47,0,12,1,8,1,1,9,1,1241
1572,2,0,46,0,12,1,7,1,1,7,1,856
5613,18,1,26,0,12,1,3,1,1,6,1,417
5549,4,0,24,0,12,1,1,0,0,7,0,321
2634,6,0,26,0,12,0,3,1,1,11,0,710
2634,52,0,25,0,12,0,3,1,1,11,0,1195
1786,26,0,33,0,12,0,3,0,1,3,0,769
1786,4,0,33,0,12,0,3,0,1,3,0,278
5663,52,1,27,1,9,1,4,0,0,12,0,143
1399,18,0,24,0,12,0,2,1,0,7,0,2236
6030,2,0,32,0,12,1,4,1,1,7,1,767
2418,20,0,36,0,12,0,5,1,1,10,0,699
2418,26,0,35,0,12,0,5,1,1,9.5,0,810
1345,11,0,20,0,12,0,2,0,0,5,0,694
5615,26,1,37,0,12,1,3,0,1,7,1,240
6007,13,0,27,0,12,0,3,1,1,3,0,597
762,3,0,43,0,9,0,4,1,1,13,1,1361
1762,26,0,25,0,12,0,3,1,1,12,0,451
1762,37,0,24,0,12,0,3,1,1,9.5,0,499
6740,4,0,36,1,9,1,5,0,0,9.5,1,328
1451,17,1,21,0,12,0,2,1,1,8,0,353
2429,2,0,47,0,12,0,4,1,1,12,1,566
2429,13,0,25,0,12,0,3,1,1,12,0,705
2429,8,0,24,0,12,0,3,1,1,9.5,0,595
1720,17,1,24,0,12,0,4,1,1,7,0,1056
